# {"t_start": 1579667593.911387, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-21.0,925,22.424525
-21.0,882,43.280957
-20.0,944,64.444508
-21.0,942,85.65699
-21.0,1004,109.45903
-21.0,780,127.522643
-21.0,782,145.425653
-21.0,824,165.72548
-20.0,985,187.14525
-20.0,903,208.194449
-21.0,820,228.477143
-21.0,909,249.414231
-21.0,1032,273.320186
-21.0,901,294.142388
-21.0,847,314.579735
-19.0,1126,339.128085
-20.0,897,359.929867
-20.0,962,383.182921
-21.0,941,404.385968
-21.0,821,424.561934
-21.0,822,442.81483
-21.0,853,463.367091
-21.0,877,481.846428
-20.0,1093,507.907062
-19.0,997,531.515995
-21.0,897,552.420451
-20.0,958,573.741275
-21.0,911,594.840727
-21.0,938,618.244278
-21.0,822,636.3451
-20.0,917,657.287243
-21.0,782,675.318239
-19.0,1009,699.245414
-19.0,955,722.486006
-21.0,1029,746.269208
-19.0,1038,770.094559
-20.0,1227,797.203918
-17.0,1273,826.99339
-18.0,1192,855.976509
-15.0,1472,889.093147
-17.0,1445,921.853246
-18.0,1594,960.029358
-16.0,1967,1004.662394
-18.0,1770,1046.101414
-14.0,1660,1084.430028
-19.0,1656,1122.777479
-18.0,1704,1161.639814
-8.0,2543,1220.90466
-14.0,2342,1274.105744
-12.0,2313,1327.562642
-5.0,2774,1392.389146
-21.0,1488,1427.291746
-20.0,1517,1460.527357
-8.0,2338,1515.981568
-20.0,1452,1548.922492
-19.0,1664,1587.344201
-16.0,1798,1628.616755
-15.0,1901,1673.017351
-8.0,2746,1735.761517
-1.0,2926,1803.576914
5.0,2771,1868.242713
3.0,3180,1942.063358
9.0,2512,1998.813941
-12.0,2280,2051.683082
4.0,2970,2120.125194
4.0,3045,2190.866824
-11.0,2452,2247.265201
-13.0,2507,2305.814007
-12.0,2596,2365.084269
-16.0,1927,2409.496161
4.0,3206,2483.460145
-7.0,3176,2557.381982
5.0,3160,2629.273103
-13.0,2226,2683.965659
-13.0,2457,2744.335758
8.0,2912,2817.305096
11.0,3215,2896.73647
-14.0,2418,2956.92294
15.0,2753,3023.653105
-16.0,2102,3077.112717
17.0,2448,3137.567541
16.0,2654,3201.878121
12.0,2694,3268.708103
-13.0,2444,3329.096515
13.0,2932,3402.624806
18.0,2346,3462.18447
15.0,2599,3525.784991
-13.0,2838,3595.720631
-2.0,4192,3700.090768
-15.0,2398,3760.015586
-6.0,3416,3843.195665
14.0,2769,3912.002601
13.0,2825,3981.848022
-4.0,4472,4093.025199
-4.0,4640,4207.244328
13.0,2620,4272.974224
9.0,3118,4349.426944
-4.0,3994,4447.769682
-4.0,4123,4549.074095
13.0,2881,4621.103762
13.0,3329,4703.463729
9.0,4251,4808.561267
15.0,2953,4881.705917
9.0,4202,4986.124085
15.0,2853,5056.056839
19.0,2678,5122.309125
20.0,2362,5179.798226
16.0,2664,5245.99456
19.0,2405,5306.063752
14.0,2884,5378.237719
13.0,3222,5458.112166
16.0,2674,5524.173642
16.0,3051,5597.620612
14.0,3428,5683.473365
17.0,2734,5750.359419
11.0,4066,5851.650048
16.0,2885,5924.179944
11.0,3972,6022.241696
20.0,2369,6079.603817
20.0,2339,6139.16323
9.0,3882,6233.96799
15.0,3894,6329.246081
11.0,3608,6418.321705
19.0,3137,6497.090723
16.0,3668,6588.411149
18.0,3318,6668.577796
18.0,3103,6746.909285
21.0,3013,6820.356588
17.0,3581,6908.802804
19.0,3386,6993.456996
20.0,2319,7050.37959
18.0,3006,7123.744223
19.0,3246,7205.522914
20.0,2456,7265.666031
18.0,2485,7326.061457
19.0,3254,7405.547039
19.0,2517,7468.845102
18.0,3021,7544.309386
19.0,2637,7608.263323
16.0,3300,7690.424917
20.0,2822,7760.071892
10.0,3503,7845.546591
14.0,3231,7925.440691
17.0,3198,7999.589474
18.0,2540,8059.598237
20.0,2830,8127.932636
17.0,2677,8191.035358
18.0,2550,8254.550164
18.0,3179,8333.919842
16.0,2998,8409.459578
20.0,3288,8489.706301
17.0,3599,8577.668547
21.0,2574,8636.964365
20.0,3227,8714.216291
19.0,2521,8775.485733
21.0,3011,8851.146625
15.0,3393,8933.90132
20.0,3126,9012.327003
21.0,3013,9085.837775
20.0,3264,9167.901018
19.0,2753,9235.448798
21.0,2579,9298.859685
20.0,2517,9361.751011
20.0,3178,9441.544048
21.0,2578,9504.930607
21.0,2578,9568.568859
17.0,3464,9653.919333
21.0,2579,9717.236682
18.0,3259,9799.140052
20.0,2553,9862.616856
20.0,2544,9925.786012
20.0,2317,9982.692856
17.0,3374,10065.307352
20.0,2983,10138.543974
16.0,3163,10217.251924
13.0,2877,10287.310638
9.0,4022,10385.562032
17.0,3119,10456.358516
21.0,2572,10515.385665
16.0,3366,10594.270267
20.0,3217,10668.0166
19.0,2312,10721.270607
21.0,2956,10788.851361
19.0,2353,10842.682209
21.0,3057,10913.171964
18.0,3599,10992.661537
21.0,2953,11060.461915
18.0,3397,11139.664268
19.0,3005,11207.950571
20.0,2350,11261.327541
21.0,2288,11314.23638
21.0,3103,11387.404522
21.0,2290,11438.151698
21.0,2577,11499.176721
18.0,2952,11567.273372
21.0,3043,11635.877186
20.0,2641,11697.504792
21.0,2583,11756.713722
21.0,2576,11815.850268
21.0,3057,11886.478916
17.0,3299,11962.835278
16.0,3335,12039.524055
21.0,2287,12092.564823
21.0,2583,12151.875425
21.0,3015,12220.403757
19.0,3292,12296.829345
19.0,3280,12373.404599
20.0,3054,12444.150867
19.0,2434,12500.375929
21.0,3062,12570.971793
15.0,2984,12638.970254
17.0,2706,12700.992407
19.0,2655,12762.603451
21.0,3011,12831.021144
21.0,3061,12901.860451
20.0,2512,12960.503215
21.0,2576,13019.451118
21.0,2577,13078.729385
18.0,3130,13149.982462
20.0,2452,13206.228724
20.0,2540,13265.109499
21.0,2573,13324.334201
21.0,3059,13395.220332
20.0,2321,13448.462149
21.0,2584,13509.88268
21.0,3102,13580.957469
21.0,2575,13640.322809
18.0,3376,13717.417916
20.0,2556,13776.723153
21.0,3097,13847.766629
20.0,2318,13901.03739
21.0,2578,13962.125968
11.0,3736,14048.264433
17.0,3355,14125.269268
21.0,2576,14184.419608
16.0,3419,14264.000739
21.0,2573,14323.227892
21.0,2581,14382.200332
20.0,2259,14434.913924
21.0,3056,14505.618845
20.0,2320,14558.8831
21.0,2956,14626.967954
20.0,3072,14697.593967
21.0,2287,14750.712621
21.0,3010,14818.981959
19.0,2670,14880.648601
21.0,2573,14939.930839
21.0,2347,14993.449067
19.0,3136,15066.658155
17.0,3321,15143.576327
21.0,2958,15211.655112
20.0,2790,15276.599362
20.0,3110,15347.879687
18.0,3246,15422.235678
21.0,3010,15492.713424
21.0,2575,15551.880721
21.0,2572,15611.421371
21.0,2575,15670.725044
21.0,2579,15727.377199
21.0,2288,15774.292072
18.0,3182,15839.699279
20.0,2694,15894.707858
21.0,2574,15946.740747
21.0,2290,15993.722564
19.0,3207,16059.276985
20.0,3221,16124.486421
20.0,2693,16179.3002
21.0,2572,16231.716852
21.0,3010,16293.866463
21.0,3061,16356.675614
21.0,2288,16401.696916
21.0,2572,16453.925174
21.0,2291,16501.11831
15.0,3215,16566.596226
17.0,3205,16632.120765
21.0,3055,16694.735095
20.0,2318,16741.726048
16.0,3470,16812.477954
19.0,2653,16866.943886
21.0,3010,16929.415381
21.0,3060,16991.956687
21.0,3099,17054.798398
21.0,3060,17117.281368
21.0,2693,17172.158436
15.0,3439,17242.721797
14.0,3046,17303.658233
14.0,2464,17355.367194
17.0,2269,17400.37012
19.0,1956,17441.659109
20.0,1781,17476.28148
20.0,1894,17515.453396
21.0,1695,17549.558987
16.0,2484,17601.520123
14.0,2209,17646.359438
21.0,1691,17680.584179
16.0,2207,17727.144863
21.0,1690,17761.140188
17.0,1979,17800.657535
21.0,1696,17835.083632
20.0,1784,17871.681522
21.0,1696,17907.711726
21.0,1694,17941.9583
21.0,1889,17979.200612
21.0,1691,18015.21429
21.0,1713,18049.429365
21.0,1668,18083.398813
21.0,1691,18117.629318
5.0,2868,18177.085396
21.0,1718,18211.371859
19.0,1876,18250.457873
19.0,2099,18292.785168
20.0,1746,18329.014276
18.0,1903,18368.047924
21.0,1714,18402.226655
20.0,1748,18438.686519
20.0,1818,18475.512007
21.0,1697,18509.594427
21.0,1782,18546.080127
21.0,1787,18582.677153
21.0,1697,18616.723797
16.0,2100,18658.835591
21.0,1667,18692.732507
17.0,1964,18734.120193
21.0,1785,18770.771541
19.0,1817,18807.581405
20.0,1828,18844.222853
21.0,1696,18878.332305
21.0,1670,18912.284582
21.0,1650,18946.023921
21.0,1673,18980.041458
21.0,1648,19014.027633
21.0,1652,19047.926411
21.0,1654,19081.679221
21.0,1672,19115.642276
21.0,1654,19149.401449
21.0,1668,19183.433871
21.0,1653,19217.062673
21.0,1721,19251.33049
21.0,1692,19287.293938
21.0,1672,19321.545119
20.0,1719,19355.93002
21.0,1673,19389.977244
21.0,1648,19423.832518
19.0,1921,19462.996224
20.0,1989,19502.518399
21.0,1671,19536.62824
21.0,1654,19570.688666
21.0,1692,19606.624794
18.0,1844,19643.596186
20.0,1779,19680.284594
21.0,1671,19714.352354
20.0,1768,19750.882261
21.0,1648,19784.828264
21.0,1650,19816.853883
21.0,1648,19850.634928
21.0,1652,19884.589511
21.0,1655,19918.533982
21.0,1670,19952.698883
21.0,1667,19986.647176
21.0,1669,20020.554563
20.0,1721,20056.749692
21.0,1714,20090.977177
20.0,1768,20127.497363
21.0,1655,20161.387166
21.0,1669,20195.363192
21.0,1655,20229.439508
21.0,1649,20261.417079
21.0,1673,20297.221236
21.0,1648,20329.288463
21.0,1654,20363.320771
18.0,1775,20399.829379
18.0,2007,20441.438328
17.0,1879,20478.453642
20.0,1720,20514.584322
21.0,1654,20548.260723
21.0,1694,20582.364307
21.0,1671,20616.450533
18.0,1963,20655.860458
16.0,2106,20699.950561
21.0,1668,20733.947428
16.0,1993,20773.57215
21.0,1667,20807.649156
21.0,1674,20841.684219
21.0,1654,20875.633495
19.0,1828,20914.205653
21.0,1843,20951.197775
21.0,1671,20985.186637
21.0,1673,21019.275358
21.0,1670,21053.206014
21.0,1652,21087.099981
21.0,1668,21121.492408
20.0,1722,21155.80855
16.0,2074,21199.602971
19.0,1930,21239.023316
17.0,2048,21281.074173
19.0,2034,21322.63337
21.0,1671,21356.768259
21.0,1655,21390.685864
21.0,1673,21425.057471
21.0,1655,21458.815119
21.0,1650,21490.832271
21.0,1670,21524.904037
21.0,1651,21558.699109
21.0,1667,21592.751912
21.0,1652,21626.620425
21.0,1650,21660.499259
21.0,1655,21694.412965
21.0,1648,21728.389718
21.0,1651,21762.2602
21.0,1673,21796.337377
21.0,1651,21830.213649
21.0,1651,21864.074726
21.0,1671,21898.142802
21.0,1673,21932.169243
21.0,1669,21966.252322
21.0,1675,22000.603389
21.0,1655,22034.826222
21.0,1654,22068.781616
20.0,1703,22103.211636
20.0,1717,22137.522073
21.0,1654,22171.480927
20.0,1720,22207.67706
21.0,1651,22239.660045
21.0,1652,22273.568406
21.0,1672,22307.677965
21.0,1674,22341.9237
21.0,1672,22377.968683
21.0,1670,22411.946333
21.0,1654,22443.936226
21.0,1655,22477.829203
21.0,1671,22511.870383
21.0,1672,22545.900486
21.0,1671,22580.102894
21.0,1668,22616.137979
21.0,1669,22650.241732
21.0,1650,22682.158823
21.0,1669,22716.144092
20.0,1829,22754.734186
11.0,2402,22802.339466
20.0,1706,22838.333718
21.0,1650,22872.089903
21.0,1696,22906.41324
21.0,1675,22940.58716
21.0,1652,22974.3906
21.0,1653,23008.338964
21.0,1651,23042.171241
21.0,1654,23075.995107
20.0,1723,23110.468829
21.0,1668,23144.43175
20.0,1706,23178.524684
21.0,1669,23212.611263
21.0,1651,23246.535649
21.0,1653,23280.481797
21.0,1675,23314.519121
15.0,2300,23361.231482
21.0,1648,23394.973725
21.0,1672,23428.851739
21.0,1670,23462.998583
21.0,1670,23496.952712
16.0,2079,23539.118237
21.0,1671,23573.106772
21.0,1654,23607.119239
21.0,1651,23641.001923
21.0,1649,23674.706048
21.0,1671,23708.634165
21.0,1649,23742.878845
21.0,1672,23776.908705
21.0,1650,23811.026269
21.0,1650,23844.81707
20.0,1718,23879.031902
18.0,1970,23918.651585
21.0,1648,23952.505738
21.0,1667,23986.595789
21.0,1648,24020.535998
21.0,1654,24054.496757
15.0,2209,24099.213077
20.0,1722,24135.54295
21.0,1672,24169.590766
21.0,1672,24203.544324
21.0,1675,24237.61674
21.0,1671,24271.555919
21.0,1650,24305.446217
21.0,1711,24339.790022
21.0,1667,24373.880798
19.0,1873,24412.962193
17.0,2019,24454.759384
17.0,1873,24491.748046
19.0,1772,24528.096475
20.0,1794,24564.732355
21.0,1653,24598.891474
21.0,1674,24632.949135
21.0,1672,24666.993111
21.0,1674,24700.934349
21.0,1667,24735.325242
20.0,1702,24769.570588
21.0,1668,24803.419406
21.0,1670,24837.636931
21.0,1649,24871.704735
21.0,1668,24905.617827
19.0,1788,24942.269071
20.0,1720,24978.547339
21.0,1673,25012.77992
21.0,1651,25046.565073
21.0,1673,25080.667214
21.0,1653,25114.538342
21.0,1653,25148.499621
21.0,1652,25180.52484
21.0,1669,25214.571747
21.0,1651,25248.337883
21.0,1668,25282.434849
21.0,1669,25316.744032
20.0,1705,25352.913794
21.0,1648,25386.766077
21.0,1653,25418.740582
21.0,1652,25452.638672
21.0,1669,25486.715264
21.0,1705,25522.940105
21.0,1667,25557.024973
21.0,1670,25591.162352
21.0,1648,25625.235448
21.0,1655,25657.399555
21.0,1673,25693.396294
20.0,1722,25727.759256
21.0,1674,25761.761423
21.0,1668,25795.716714
21.0,1673,25829.826091
21.0,1650,25863.616646
21.0,1671,25897.547997
16.0,2004,25939.352212
21.0,1652,25973.069609
21.0,1674,26006.909284
21.0,1654,26039.025914
21.0,1674,26075.122571
21.0,1653,26107.084809
21.0,1650,26140.973592
21.0,1668,26175.066076
21.0,1671,26209.128013
21.0,1672,26243.39208
21.0,1675,26277.560128
21.0,1654,26311.714077
21.0,1671,26345.714752
21.0,1650,26379.498191
21.0,1654,26413.541866
21.0,1648,26447.471342
21.0,1652,26481.43294
21.0,1675,26515.631207
18.0,1838,26552.567044
21.0,1667,26586.419128
21.0,1653,26620.276268
21.0,1653,26654.253293
21.0,1675,26688.26972
20.0,1702,26724.243708
21.0,1671,26758.258111
21.0,1673,26792.365453
21.0,1653,26826.288201
21.0,1648,26858.432268
21.0,1669,26892.43401
21.0,1649,26926.473726
21.0,1672,26960.349456
21.0,1667,26994.339479
21.0,1652,27028.290203
20.0,1745,27064.558363
21.0,1675,27098.652672
21.0,1673,27132.938684
21.0,1649,27166.895608
21.0,1710,27201.291328
21.0,1653,27235.234017
21.0,1671,27269.205912
20.0,1890,27308.141534
21.0,1655,27342.172784
21.0,1650,27376.007257
21.0,1650,27409.919947
21.0,1653,27442.036563
21.0,1648,27475.952141
20.0,1926,27515.196396
19.0,1736,27551.391353
20.0,1787,27587.964381
21.0,1650,27621.989483
20.0,1920,27661.241513
20.0,1842,27698.246127
21.0,1674,27732.539246
21.0,1652,27766.501012
21.0,1653,27800.38273
21.0,1668,27834.322372
21.0,1654,27868.19575
21.0,1670,27902.333171
21.0,1671,27936.308928
18.0,2012,27977.946416
21.0,1674,28012.322017
21.0,1651,28046.18177
21.0,1672,28080.218047
21.0,1648,28112.247777
21.0,1648,28146.300316
21.0,1653,28180.230038
21.0,1668,28214.225405
20.0,1829,28251.083268
21.0,1674,28286.85798
21.0,1654,28319.134942
21.0,1648,28353.139987
20.0,1721,28389.364834
21.0,1652,28423.437161
19.0,1868,28460.459198
18.0,1977,28501.90828
21.0,1650,28535.762371
17.0,2145,28578.437079
21.0,1670,28612.708347
20.0,2092,28656.588264
21.0,1654,28690.450691
20.0,1707,28724.89709
21.0,1650,28758.787016
20.0,1719,28793.006434
21.0,1672,28827.149104
21.0,1669,28861.279565
20.0,1724,28897.446795
21.0,1693,28931.767706
21.0,1672,28965.798914
21.0,1670,28999.916985
11.0,2331,29047.171794
21.0,1654,29081.117174
21.0,1669,29115.226163
21.0,1651,29149.671152
21.0,1652,29184.496018
21.0,1673,29218.542732
21.0,1652,29252.422402
21.0,1673,29286.35732
21.0,1675,29320.419889
21.0,1673,29354.57935
21.0,1652,29388.456918
21.0,1667,29422.378288
21.0,1673,29456.438888
21.0,1670,29490.735494
19.0,1869,29529.721974
21.0,1669,29564.473615
21.0,1669,29599.000255
21.0,1670,29633.061281
18.0,1866,29671.312665
21.0,1673,29706.866425
21.0,1654,29740.919817
21.0,1670,29774.894329
21.0,1653,29808.866488
21.0,1649,29842.820256
21.0,1752,29880.262085
21.0,1670,29915.450649
21.0,1655,29949.629216
21.0,1672,29983.606176
21.0,1673,30018.323965
21.0,1670,30053.390772
21.0,1648,30087.362144
21.0,1652,30119.512219
21.0,1669,30153.528219
21.0,1649,30187.364558
21.0,1651,30221.447537
20.0,1702,30258.398787
21.0,1648,30292.726894
21.0,1672,30326.92357
21.0,1650,30360.958662
21.0,1650,30394.879714
21.0,1674,30428.832007
21.0,1668,30462.702919
21.0,1651,30496.642563
16.0,2170,30541.1715
21.0,1672,30575.395176
21.0,1669,30609.431405
21.0,1670,30643.588036
21.0,1672,30677.582272
21.0,1651,30711.633887
21.0,1673,30745.803668
21.0,1667,30779.815816
21.0,1654,30813.669288
21.0,1669,30847.683313
21.0,1675,30881.67385
20.0,1723,30918.51157
21.0,1674,30953.348666
21.0,1669,30987.304507
20.0,1705,31022.223579
21.0,1674,31056.346071
21.0,1672,31091.251848
17.0,1973,31131.539718
20.0,1745,31167.842044
21.0,1654,31201.77238
21.0,1669,31236.684794
21.0,1668,31270.67593
21.0,1653,31308.009374
21.0,1675,31342.563757
21.0,1668,31380.994475
21.0,1648,31417.648674
21.0,1672,31453.063658
20.0,1823,31491.545761
19.0,2154,31541.812375
21.0,1670,31579.525255
21.0,1670,31618.13732
21.0,1672,31656.731665
21.0,1649,31690.973249
21.0,1672,31724.9855
21.0,1652,31758.764062
21.0,1668,31792.692272
21.0,1648,31826.647135
20.0,1742,31861.126971
21.0,1672,31896.409879
21.0,1671,31934.082757
21.0,1671,31972.749061
21.0,1671,32013.259208
21.0,1649,32049.437888
21.0,1649,32087.810608
21.0,1655,32126.227187
21.0,1671,32164.898542
21.0,1777,32206.224742
21.0,1667,32244.764175
21.0,1648,32283.114542
21.0,1650,32318.134639
21.0,1652,32352.524902
21.0,1675,32387.35879
21.0,1667,32421.333477
21.0,1668,32455.37732
21.0,1669,32489.519413
21.0,1668,32523.666126
21.0,1652,32557.651721
21.0,1654,32592.844699
21.0,1655,32627.325344
21.0,1672,32661.443716
21.0,1651,32693.639753
21.0,1648,32728.93622
21.0,1649,32763.487558
21.0,1655,32797.547205
21.0,1654,32832.176117
21.0,1648,32867.024111
21.0,1671,32902.172387
21.0,1653,32936.3196
21.0,1672,32970.457113
21.0,1670,33004.364736
21.0,1671,33038.561927
21.0,1675,33072.68152
20.0,1763,33109.094956
21.0,1650,33143.140194
21.0,1675,33177.210684
20.0,1721,33211.479305
21.0,1669,33245.592459
21.0,1649,33279.660597
21.0,1652,33313.740711
21.0,1653,33347.629543
21.0,1670,33381.626393
21.0,1671,33415.83199
21.0,1651,33449.741186
21.0,1650,33483.559835
21.0,1648,33517.341439
21.0,1667,33551.393531
21.0,1653,33583.515628
21.0,1650,33617.475199
21.0,1654,33651.340112
21.0,1655,33685.262466
19.0,1824,33722.369636
21.0,1651,33756.391496
21.0,1654,33790.302432
21.0,1672,33824.339422
21.0,1671,33858.405352
21.0,1674,33892.413711
21.0,1672,33926.52794
21.0,1652,33960.439703
21.0,1674,33994.489356
21.0,1655,34028.730119
21.0,1673,34062.877157
21.0,1668,34096.803691
21.0,1648,34130.920197
21.0,1674,34165.038038
21.0,1654,34199.20561
21.0,1650,34233.128932
21.0,1652,34267.284164
21.0,1652,34301.375973
21.0,1648,34335.550131
21.0,1857,34372.409129
21.0,1652,34406.330099
21.0,1655,34440.44931
21.0,1668,34474.417306
21.0,1650,34508.389427
21.0,1654,34542.362693
20.0,1870,34579.453769
21.0,1652,34613.631339
21.0,1651,34647.5495
21.0,1670,34681.630268
21.0,1648,34715.532215
21.0,1652,34749.493455
21.0,1670,34783.577174
20.0,1792,34820.023249
21.0,1673,34854.322998
20.0,1708,34888.795896
21.0,1668,34922.940127
21.0,1655,34957.025588
20.0,1669,34991.034837
21.0,1653,35025.02507
21.0,1667,35059.230073
21.0,1651,35093.038271
21.0,1654,35126.899962
21.0,1669,35160.986281
21.0,1650,35194.840915
21.0,1654,35229.091913
21.0,1672,35262.967845
21.0,1674,35296.986637
21.0,1651,35330.955925
21.0,1650,35364.889475
21.0,1651,35396.937191
21.0,1655,35430.970172
21.0,1671,35464.961396
21.0,1668,35498.944682
21.0,1669,35533.651085
21.0,1653,35567.833124
21.0,1671,35601.952468
20.0,1703,35638.090945
21.0,1786,35674.677334
21.0,1650,35708.558201
18.0,2101,35750.674169
21.0,1673,35784.792681
21.0,1655,35818.898793
21.0,1673,35852.942659
21.0,1650,35887.068678
21.0,1651,35921.140933
21.0,1655,35955.232093
21.0,1648,35987.39771
21.0,1654,36021.192885
21.0,1649,36055.111705
21.0,1649,36089.092321
21.0,1668,36123.432478
21.0,1673,36157.58661
20.0,1721,36193.754865
21.0,1654,36227.572664
20.0,1671,36261.409104
21.0,1783,36296.252693
21.0,1675,36332.110626
21.0,1651,36363.954426
21.0,1652,36397.96055
